name,title,links,dates,first_date
Guatemala,Mafia of the Poor: Gang Violence and Extortion in Central America ; Easy Prey: Criminal Violence and Central American Migration,https://www.crisisgroup.org/latin-america-caribbean/central-america/62-mafia-poor-gang-violence-and-extortion-central-america ; https://www.crisisgroup.org/latin-america-caribbean/central-america/easy-prey-criminal-violence-and-central-american-migration,2017 ; 2016,2016
Haiti,Haiti’s Women Rise From the Rubble,https://www.crisisgroup.org/latin-america-caribbean/haiti/haiti-s-women-rise-rubble,2010,2010
Honduras,Mafia of the Poor: Gang Violence and Extortion in Central America ; Easy Prey: Criminal Violence and Central American Migration,https://www.crisisgroup.org/latin-america-caribbean/central-america/62-mafia-poor-gang-violence-and-extortion-central-america ; https://www.crisisgroup.org/latin-america-caribbean/central-america/easy-prey-criminal-violence-and-central-american-migration,2017 ; 2016,2016
India,Ethnic Clashes Roiling Manipur Pose Test for India’s Modi,https://www.crisisgroup.org/asia/south-asia/india/ethnic-clashes-roiling-manipur-pose-test-indias-modi,2023,2023
Iran,The Middle-Class Women of Iran Are Disappearing ; U.S. “Maximum Pressure” on Iran Hurts the Women It Claims to Help,https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/iran/middle-class-women-iran-disappearing ; https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/iran/us-maximum-pressure-iran-hurts-women-it-claims-help,2021 ;  2020,2020
Iraq,Exiles in Their Own Country: Dealing with Displacement in Post-ISIS Iraq ; A New Generation of Activists Circumvents Iraq’s Political Paralysis ; ‘Jihadi bride’ doesn’t fit: we need a new language for female militants,https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/iraq/b79-exiles-their-own-country-dealing-displacement-post-isis-iraq ; https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/iraq/new-generation-activists-circumvents-iraqs-political-paralysis ; https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/iraq/fight-or-flight-desperate-plight-iraq-s-generation-2000 ; https://www.crisisgroup.org/middle-east-north-africa/eastern-mediterranean/syria/jihadi-bride-doesnt-fit-we-need-new-language-female-militants,2020 ; 2019 ; 2016 ; 2019,2016
Kenya,"Absorbing Climate Shocks and Easing Conflict in Kenya’s Rift Valley ; Kenya: Averting an Avoidable Crisis ;  Kenya’s Rift Valley: Old Wounds, Devolution’s New Anxieties",https://www.crisisgroup.org/africa/east-and-southern-africa/kenya/b189-absorbing-climate-shocks-and-easing-conflict-kenyas-rift ; https://www.crisisgroup.org/africa/horn-africa/kenya/kenya-averting-avoidable-crisis ;  https://www.crisisgroup.org/africa/horn-africa/kenya/248-kenyas-rift-valley-old-wounds-devolutions-new-anxieties,2023 ; 2018 ; 2017,2017
Kyrgyzstan,Women and Radicalisation in Kyrgyzstan,https://www.crisisgroup.org/europe-central-asia/central-asia/kyrgyzstan/women-and-radicalisation-kyrgyzstan,2009,2009
Mexico,Partners in Crime: The Rise of Women in Mexico’s Illegal Groups ; “I Don’t Want to Disappear”: How Mexico’s Criminal Violence Reshapes Women’s Lives ; Easy Prey: Criminal Violence and Central American Migration,https://www.crisisgroup.org/latin-america-caribbean/mexico/103-partners-crime-rise-women-mexicos-illegal-groups ; https://www.crisisgroup.org/latin-america-caribbean/mexico/i-dont-want-disappear-how-mexicos-criminal-violence-reshapes-womens-lives ; https://www.crisisgroup.org/latin-america-caribbean/central-america/easy-prey-criminal-violence-and-central-american-migration,2023 ; 2023 ; 2016,2016
Myanmar,Bangladesh / Myanmar: The Dangers of a Rohingya Insurgency ; Fractured Heartland: Shan Politics and Conflict in Post-coup Myanmar ; Treading a Rocky Path: The Ta'ang Army Expands in Myanmar's Shan State ;  Breaking Gender and Age Barriers amid Myanmar’s Spring Revolution ; Buddhism and State Power in Myanmar,https://www.crisisgroup.org/asia/south-east-asia/myanmar-bangladesh/348-bangladeshmyanmar-dangers-rohingya-insurgency ; https://www.crisisgroup.org/brf/asia-pacific/myanmar-china/b186-fractured-heartland-shan-politics-and-conflict-post-coup-myanmar ; https://www.crisisgroup.org/brf/asia/south-east-asia/myanmar/b177-treading-rocky-path-taang-army-expands-myanmars-shan-state https://www.crisisgroup.org/asia/south-east-asia/myanmar/b174-breaking-gender-and-age-barriers-amid-myanmars-spring-revolution ; https://www.crisisgroup.org/asia/south-east-asia/myanmar/290-buddhism-and-state-power-myanmar,2025; 2025 ; 2023 ; 2023 ; 2017,2017
Niger,Women’s Lives under Islamic State in Niger’s Tillabery,https://www.crisisgroup.org/africa/sahel/niger/b200-womens-lives-under-islamic-state-nigers-tillabery,2024,2024
Nigeria,"Returning from the Land of Jihad: The Fate of Women Associated with Boko Haram ; What Would Make A Woman Go Back To Boko Haram? Despair ; Preventing Boko Haram Abductions of Schoolchildren in Nigeria ; To Defeat Boko Haram, Nigeria Must Get Women on Board ; The Chibok Girls Must Be Found – and Freed",https://www.crisisgroup.org/africa/west-africa/nigeria/275-returning-land-jihad-fate-women-associated-boko-haram ; https://www.crisisgroup.org/africa/west-africa/nigeria/what-would-make-woman-go-back-boko-haram-despair ; https://www.crisisgroup.org/africa/west-africa/nigeria/b137-preventing-boko-haram-abductions-schoolchildren-nigeria ; https://www.crisisgroup.org/africa/west-africa/nigeria/defeat-boko-haram-nigeria-must-get-women-board ; https://www.crisisgroup.org/africa/west-africa/nigeria/nigeria-women-and-boko-haram-insurgency ; https://www.crisisgroup.org/africa/west-africa/nigeria/chibok-girls-must-be-found-and-freed,2019; 2019 ; 2018 ; 2016 ; 2016 ; 2016,2016
Pakistan,"Pakistan-Afghanistan: Tempering the Deportation Drive; Keeping Turmoil at Bay in Pakistan’s Polarised Polity ; Building a Just Peace for Women in Pakistan’s Tribal Belt ; Women and Peacebuilding in Pakistan’s North West ; Bridging Pakistan’s Gender Divide ; Women, Violence and Conflict in Pakistan ; Pakistan Must Lift Women In Order To Counter Security Threats",https://www.crisisgroup.org/asia-pacific/pakistan-afghanistan/pakistan-afghanistan-tempering-deportation-drive ; https://www.crisisgroup.org/asia/south-asia/pakistan/keeping-turmoil-bay-pakistans-polarised-polity ; https://www.crisisgroup.org/asia/south-asia/pakistan/building-just-peace-women-pakistans-tribal-belt ; https://www.crisisgroup.org/asia/south-asia/pakistan/women-and-peacebuilding-pakistans-north-west ; https://www.crisisgroup.org/asia/south-asia/pakistan/bridging-pakistans-gender-divide ; https://www.crisisgroup.org/asia/south-asia/pakistan/women-violence-and-conflict-pakistan ; https://www.crisisgroup.org/asia/south-asia/pakistan/pakistan-must-lift-women-order-counter-security-threats,2025; 2022 ; 2022 ; 2022 ; 2017 ; 2015 ; 2015,2015
Panama,Bottleneck of the Americas: Crime and Migration in the Darién Gap,https://www.crisisgroup.org/latin-america-caribbean/andes/colombia-central-america/102-bottleneck-americas-crime-and-migration,2023,2023
Philippines,Southern Philippines: Fostering an Inclusive Bangsamoro,https://www.crisisgroup.org/asia/south-east-asia/philippines/southern-philippines-fostering-inclusive-bangsamoro,2022,2022
Russia,Vladimir Putin Has One Reliable Set of Allies: Russia’s Iron Ladies ; Women in the North Caucasus Conflicts: An Under-reported Plight,https://www.crisisgroup.org/europe-central-asia/caucasus/russianorth-caucasus/vladimir-putin-has-one-reliable-set-allies-russias-iron-ladies ; https://www.crisisgroup.org/europe-central-asia/caucasus/north-caucasus/women-north-caucasus-conflicts-under-reported-plight,2017 ; 2016,2016
Somalia,Women and Al-Shabaab’s Insurgency,https://www.crisisgroup.org/africa/horn-africa/somalia/b145-women-and-al-shabaabs-insurgency,2019,2019
Sri Lanka,Sri Lanka’s Conflict-Affected Women: Dealing with the Legacy of War ; Sri Lanka: Women’s Insecurity in the North and East,https://www.crisisgroup.org/asia/south-asia/sri-lanka/289-sri-lankas-conflict-affected-women-dealing-legacy-war ; https://www.crisisgroup.org/asia/south-asia/sri-lanka/sri-lanka-women-s-insecurity-north-and-east,2017 ; 2011,2011
Sudan,"Beyond Victimhood: Women’s Peacebuilding in Sudan, Congo and Uganda",https://www.crisisgroup.org/africa/horn-africa/sudan/beyond-victimhood-womens-peacebuilding-sudan-congo-and-uganda,2006,2006
Syria,Women and Children First: Repatriating the Westerners Affiliated with ISIS ; The West Should Let Islamic State Recruits Come Back Home ; Mitigating Risks for Syrian Refugee Youth in Turkey’s Şanlıurfa; ‘Jihadi bride’ doesn’t fit: we need a new language for female militants,https://www.crisisgroup.org/middle-east-north-africa/eastern-mediterranean/syria/208-women-and-children-first-repatriating-westerners-affiliated-isis ; https://www.crisisgroup.org/middle-east-north-africa/west-should-let-islamic-state-recruits-come-back-home ; https://www.crisisgroup.org/europe-central-asia/western-europemediterranean/turkey/253-mitigating-risks-syrian-refugee-youth-turkeys-sanliurfa ; https://www.crisisgroup.org/middle-east-north-africa/eastern-mediterranean/syria/jihadi-bride-doesnt-fit-we-need-new-language-female-militants,2019 ; 2019 ; 2019 ; 2019,2019
Turkey,Mitigating Risks for Syrian Refugee Youth in Turkey’s Şanlıurfa,https://www.crisisgroup.org/europe-central-asia/western-europemediterranean/turkey/253-mitigating-risks-syrian-refugee-youth-turkeys-sanliurfa,2019,2019
Uganda,"Beyond Victimhood: Women’s Peacebuilding in Sudan, Congo and Uganda",https://www.crisisgroup.org/africa/horn-africa/sudan/beyond-victimhood-womens-peacebuilding-sudan-congo-and-uganda,2006,2006
Ukraine,"Fighting While Female, How Gender Dynamics Are Shaping the War in Ukraine ; Responding to Ukraine’s Displacement Crisis: From Speed to Sustainability ;  Women on the Brink ; Another deeply gendered war is being waged in Ukraine",https://www.crisisgroup.org/europe-central-asia/eastern-europe/ukraine/fighting-while-female-how-gender-dynamics-are-shaping ; https://www.crisisgroup.org/europe-central-asia/eastern-europe/ukraine/b94-responding-ukraines-displacement-crisis-speed ; https://www.crisisgroup.org/europe-central-asia/eastern-europe/ukraine/women-brink ; https://www.crisisgroup.org/europe-central-asia/eastern-europe/ukraine/another-deeply-gendered-war-being-waged-ukraine,2022 ; 2022 ; 2022 ; 2022,2022
United States,Easy Prey: Criminal Violence and Central American Migration ; U.S. “Maximum Pressure” on Iran Hurts the Women It Claims to Help,https://www.crisisgroup.org/latin-america-caribbean/central-america/easy-prey-criminal-violence-and-central-american-migration ; https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/iran/us-maximum-pressure-iran-hurts-women-it-claims-help,2016 ; 2020,2016
Venezuela,Hard Times in a Safe Haven: Protecting Venezuelan Migrants in Colombia,https://www.crisisgroup.org/latin-america-caribbean/andes/colombia-venezuela/hard-times-safe-haven-protecting-venezuelan,2022,2022
Yemen,The Case for More Inclusive – and More Effective – Peacemaking in Yemen,https://www.crisisgroup.org/middle-east-north-africa/gulf-and-arabian-peninsula/yemen/case-more-inclusive-and-more-effective,2021,2021
